title,description
Pengantar ilmu hukum dan tata hukum Indonesia,Pengantar ilmu hukum dan tata hukum Indonesia
"Risalah Sidang Badan Penyelidik Usaha-Usaha Persiapan Kemerdekaan Indonesia (BPUPKI), Panitia Persiapan Kemerdekaan Indonesia (PPKI), 28 Mei 1945-22 Agustus 1945","Risalah Sidang Badan Penyelidik Usaha-Usaha Persiapan Kemerdekaan Indonesia (BPUPKI), Panitia Persiapan Kemerdekaan Indonesia (PPKI), 28 Mei 1945-22 Agustus 1945"
A History of Modern Indonesia,A History of Modern Indonesia
Manajemen sumber daya manusia Indonesia,Manajemen sumber daya manusia Indonesia
Sistem politik Indonesia,Sistem politik Indonesia
Atlas sejarah Indonesia,Atlas sejarah Indonesia
Hukum tata negara Indonesia,Hukum tata negara Indonesia
Pengantar pariwisata Indonesia,Pengantar pariwisata Indonesia
Kepemimpinan pemerintahan Indonesia,Kepemimpinan pemerintahan Indonesia
Hukum perdata internasional Indonesia,Hukum perdata internasional Indonesia
"ISO Indonesia, informasi spesialite obat Indonesia","ISO Indonesia, informasi spesialite obat Indonesia"
Sejarah kebudayaan Indonesia,Sejarah kebudayaan Indonesia
Fase-fase Perkembangan semantik Pengantar semantik bahasa Indonesia,Fase-fase Perkembangan semantik Pengantar semantik bahasa Indonesia
The Pests of Crops in Indonesia,The Pests of Crops in Indonesia
Sistem administrasi negara Republik Indonesia (SANRI),Sistem administrasi negara Republik Indonesia (SANRI)
Supply chain management di Indonesia,Supply chain management di Indonesia
Sistem sosial budaya Indonesia,Sistem sosial budaya Indonesia
Sistem pemerintahan Indonesia,Sistem pemerintahan Indonesia
Sejarah pendidikan Indonesia,Sejarah pendidikan Indonesia
Kopassus untuk Indonesia,Kopassus untuk Indonesia
Sejarah nasional Indonesia,Sejarah nasional Indonesia
Hukum perkawinan Islam di Indonesia,Hukum perkawinan Islam di Indonesia
Sistem hukum Indonesia terpadu,Sistem hukum Indonesia terpadu
Hukum pidana Indonesia,Hukum pidana Indonesia
Implementasi kebijakan publik,Implementasi kebijakan publik
Kelas kata dalam bahasa Indonesia,Kelas kata dalam bahasa Indonesia
Dinamika bahasa Indonesia,Dinamika bahasa Indonesia
Kamus Inggris-Indonesia,Kamus Inggris-Indonesia
Kamus kepustakawanan Indonesia,Kamus kepustakawanan Indonesia
"Transmigrasi di Indonesia, 1905-1985","Transmigrasi di Indonesia, 1905-1985"
Pancasila sebagai sistem filsafat Indonesia,Pancasila sebagai sistem filsafat Indonesia
Nationalism and revolution in Indonesia,Nationalism and revolution in Indonesia
Analisis kesalahan berbahasa Indonesia,Analisis kesalahan berbahasa Indonesia
Analisis saham Indonesia,Analisis saham Indonesia
Antropologi hukum Indonesia,Antropologi hukum Indonesia
"Pengantar sejarah Indonesia baru, 1500-1900","Pengantar sejarah Indonesia baru, 1500-1900"
Manajemen strategi operasi,Manajemen strategi operasi
Materia medika Indonesia,Materia medika Indonesia
Makro ekonomi Indonesia,Makro ekonomi Indonesia
Kamus idiom bahasa Indonesia,Kamus idiom bahasa Indonesia
Manajemen tenaga kerja Indonesia,Manajemen tenaga kerja Indonesia
Kamus besar bahasa Indonesia Pusat Bahasa,Kamus besar bahasa Indonesia Pusat Bahasa
Hukum perdata Islam di Indonesia,Hukum perdata Islam di Indonesia
Pelarangan buku di Indonesia,Pelarangan buku di Indonesia
Hukum Acara Pidana Indonesia,Hukum Acara Pidana Indonesia
Pengantar hukum perdata internasional Indonesia,Pengantar hukum perdata internasional Indonesia
Model-model pembelajaran mutakhir,Model-model pembelajaran mutakhir
Jurnalistik Indonesia menulis berita dan feature,Jurnalistik Indonesia menulis berita dan feature
Asas-asas hukum pidana di Indonesia,Asas-asas hukum pidana di Indonesia
Pancasila budaya bangsa Indonesia,Pancasila budaya bangsa Indonesia
Naar de Republiek Indonesia,Naar de Republiek Indonesia
Bahasa Indonesia pada era globalisasi,Bahasa Indonesia pada era globalisasi
Pokok-pokok pajak pertambahan nilai Indonesia,Pokok-pokok pajak pertambahan nilai Indonesia
Sejarah perkebunan di Indonesia,Sejarah perkebunan di Indonesia
Vademecum kehutanan Indonesia,Vademecum kehutanan Indonesia
Sejarah peradaban Islam Indonesia,Sejarah peradaban Islam Indonesia
Dasar-dasar hukum ketenagakerjaan Indonesia,Dasar-dasar hukum ketenagakerjaan Indonesia
Pengantar hukum administrasi Indonesia,Pengantar hukum administrasi Indonesia
Ragam bahasa Indonesia,Ragam bahasa Indonesia
Pengantar sejarah sastra Indonesia,Pengantar sejarah sastra Indonesia
Pokok-pokok filsafat hukum,Pokok-pokok filsafat hukum
Perkembangan hukum jaminan di Indonesia,Perkembangan hukum jaminan di Indonesia
Antropologi kesehatan Indonesia,Antropologi kesehatan Indonesia
Penjabaran unsur-unsur pasal dalam KUHP dan resume kasus,Penjabaran unsur-unsur pasal dalam KUHP dan resume kasus
Ikhtisar sejarah bahasa Indonesia,Ikhtisar sejarah bahasa Indonesia
Perkembangan asas-asas hukum pidana Indonesia,Perkembangan asas-asas hukum pidana Indonesia
Manajemen pelayanan umum di Indonesia,Manajemen pelayanan umum di Indonesia
Pedoman akuntansi perbankan syariah Indonesia,Pedoman akuntansi perbankan syariah Indonesia
Nukilan seni ornamen Indonesia,Nukilan seni ornamen Indonesia
Tata bahasa praktis bahasa Indonesia,Tata bahasa praktis bahasa Indonesia
Akuntansi sektor publik Indonesia,Akuntansi sektor publik Indonesia
Tatabentuk bahasa Indonesia,Tatabentuk bahasa Indonesia
Mengembangkan kreativitas,Mengembangkan kreativitas
Bibliografi Pancasila,Bibliografi Pancasila
Hukum perlindungan konsumen Indonesia,Hukum perlindungan konsumen Indonesia
Obat tradisional kekayaan Indonesia,Obat tradisional kekayaan Indonesia
Tata bahasa Indonesia,Tata bahasa Indonesia
Hukum jaminan Indonesia,Hukum jaminan Indonesia
Hukum kewarganegaraan dan keimigrasian Indonesia,Hukum kewarganegaraan dan keimigrasian Indonesia
Perkembangan psikologi agama & pendidikan Islam di Indonesia,Perkembangan psikologi agama & pendidikan Islam di Indonesia
Hukum pertambangan Indonesia,Hukum pertambangan Indonesia
Pembentukan kata dalam bahasa Indonesia,Pembentukan kata dalam bahasa Indonesia
Pengantar ke ilmu pemerintahan Indonesia,Pengantar ke ilmu pemerintahan Indonesia
Membidik pasar Indonesia,Membidik pasar Indonesia
Mushaf-mushaf kuno Indonesia,Mushaf-mushaf kuno Indonesia
Kamus sistem isyarat bahasa Indonesia,Kamus sistem isyarat bahasa Indonesia
Etika & tanggung jawab profesi hukum di Indonesia,Etika & tanggung jawab profesi hukum di Indonesia
Teori bahasa Indonesia,Teori bahasa Indonesia
Pokok-pokok hukum tata negara Indonesia pasca reformasi,Pokok-pokok hukum tata negara Indonesia pasca reformasi
Asas-asas hukum perbankan Indonesia,Asas-asas hukum perbankan Indonesia
Hukum asuransi Indonesia,Hukum asuransi Indonesia
Pemikiran dan perkembangan historiografi Indonesia,Pemikiran dan perkembangan historiografi Indonesia
Prinsip-prinsip akuntansi Indonesia,Prinsip-prinsip akuntansi Indonesia
Sistem Sosial Budaya Indonesia,Sistem Sosial Budaya Indonesia
Hukum narkoba Indonesia,Hukum narkoba Indonesia
Ejaan dalam bahasa Indonesia,Ejaan dalam bahasa Indonesia
The geology of Indonesia,The geology of Indonesia
Regionalisme dalam arsitektur Indonesia,Regionalisme dalam arsitektur Indonesia
Sedjarah bahasa Indonesia,Sedjarah bahasa Indonesia
Membedah UMKM Indonesia,Membedah UMKM Indonesia
Hukum perdata Indonesia,Hukum perdata Indonesia
Tata gereja Gereja Kristen Indonesia,Tata gereja Gereja Kristen Indonesia
Indonesia dalam arus sejarah,Indonesia dalam arus sejarah
Undang-Undang Tentang Arbitrase dan Alternatif Penyelesaian Sengketa,Undang-Undang Tentang Arbitrase dan Alternatif Penyelesaian Sengketa
Perkembangan tafsir al-Qur'an di Indonesia,Perkembangan tafsir al-Qur'an di Indonesia
Sejarah dan perkembangan desain & dunia kesenirupaan di Indonesia,Sejarah dan perkembangan desain & dunia kesenirupaan di Indonesia
Perkembangan bahasa Indonesia,Perkembangan bahasa Indonesia
Sejarah peradaban Islam di Indonesia,Sejarah peradaban Islam di Indonesia
Landasan kependidikan,Landasan kependidikan
Cara pembuatan simplisia.,Cara pembuatan simplisia.
"Republik Indonesia, geografi regional","Republik Indonesia, geografi regional"
Potret kebijakan moneter Indonesia,Potret kebijakan moneter Indonesia
Kebijakan ekonomi publik di Indonesia,Kebijakan ekonomi publik di Indonesia
Bahasa Indonesia dan bahasa daerah,Bahasa Indonesia dan bahasa daerah
Filsafat intelijen negara Republik Indonesia,Filsafat intelijen negara Republik Indonesia
Sejarah pergerakan nasional Indonesia,Sejarah pergerakan nasional Indonesia
Ensiklopedi sastra Indonesia,Ensiklopedi sastra Indonesia
"Kamus Jepang-Indonesia, Indonesia-Jepang =","Kamus Jepang-Indonesia, Indonesia-Jepang ="
Undang-Undang Tentang Perseroan Terbatas (2007),Undang-Undang Tentang Perseroan Terbatas (2007)
Kekhususan rokok Indonesia,Kekhususan rokok Indonesia
Pengertian pokok hukum dagang Indonesia,Pengertian pokok hukum dagang Indonesia
Sejarah lokal di Indonesia,Sejarah lokal di Indonesia
Sejumlah masalah pemukiman kota,Sejumlah masalah pemukiman kota
Sejarah & apresiasi sastra Indonesia,Sejarah & apresiasi sastra Indonesia
Sejarah perekonomian Indonesia,Sejarah perekonomian Indonesia
"Indonesia, post report.","Indonesia, post report."
Reformasi birokrasi publik di Indonesia,Reformasi birokrasi publik di Indonesia
"Soeharto, sisi gelap sejarah Indonesia","Soeharto, sisi gelap sejarah Indonesia"
Landasan formal hukum pajak di Indonesia,Landasan formal hukum pajak di Indonesia
Pelaksanaan hukum waris di Indonesia,Pelaksanaan hukum waris di Indonesia
Demokrasi di Indonesia,Demokrasi di Indonesia
Hukum pidana militer di Indonesia,Hukum pidana militer di Indonesia
Aneka hukum perceraian di Indonesia,Aneka hukum perceraian di Indonesia
Hukum perbankan syariah di Indonesia,Hukum perbankan syariah di Indonesia
Pembinaan kemampuan berbicara bahasa Indonesia,Pembinaan kemampuan berbicara bahasa Indonesia
Buku praktis Bahasa Indonesia,Buku praktis Bahasa Indonesia
Perbankan syariah di Indonesia,Perbankan syariah di Indonesia
Sejarah pendidikan Islam,Sejarah pendidikan Islam
Kalimat efektif bahasa Indonesia,Kalimat efektif bahasa Indonesia
Resesi global & ekonomi Indonesia,Resesi global & ekonomi Indonesia
Hukum pemerintahan daerah di Indonesia,Hukum pemerintahan daerah di Indonesia
Etika bisnis & tanggung jawab sosial perusahaan di Indonesia,Etika bisnis & tanggung jawab sosial perusahaan di Indonesia
Kemiskinan dan perlindungan sosial di Indonesia,Kemiskinan dan perlindungan sosial di Indonesia
Sumberdaya lahan Indonesia dan pengelolaannya,Sumberdaya lahan Indonesia dan pengelolaannya
Stratigraphic lexicon of Indonesia,Stratigraphic lexicon of Indonesia
Pedoman penerjemahan Arab Indonesia,Pedoman penerjemahan Arab Indonesia
Undang-Undang Dasar (1945),Undang-Undang Dasar (1945)
Permainan tradisional Indonesia,Permainan tradisional Indonesia
Ejaan bahasa Indonesia,Ejaan bahasa Indonesia
Hukum penyelesaian sengketa,Hukum penyelesaian sengketa
Atlas tumbuhan obat Indonesia,Atlas tumbuhan obat Indonesia
Hukum tata usaha negara & hukum acara peradilan tata usaha negara Indonesia,Hukum tata usaha negara & hukum acara peradilan tata usaha negara Indonesia
Kekuatan-kekuatan politik di Indonesia,Kekuatan-kekuatan politik di Indonesia
Perempuan Indonesia dalam kesetaraan gender,Perempuan Indonesia dalam kesetaraan gender
Prindip-prinsip perlindungan hukum bagi konsumen di Indonesia,Prindip-prinsip perlindungan hukum bagi konsumen di Indonesia
Dari hukum kolonial ke hukum nasional,Dari hukum kolonial ke hukum nasional
Pengantar hukum administrasi negara Indonesia,Pengantar hukum administrasi negara Indonesia
Mahir berbahasa Indonesia dengan benar,Mahir berbahasa Indonesia dengan benar
"Bahasa pers, bahasa Indonesia jurnalistik","Bahasa pers, bahasa Indonesia jurnalistik"
Peradilan agama Indonesia,Peradilan agama Indonesia
Etika dan tanggung jawab profesi hukum di Indonesia,Etika dan tanggung jawab profesi hukum di Indonesia
Akar tasawuf di Indonesia,Akar tasawuf di Indonesia
Manajemen kantor advokat di Indonesia =,Manajemen kantor advokat di Indonesia =
Hukum lingkungan di Indonesia,Hukum lingkungan di Indonesia
Pendidikan kewarganegaraan Republik Indonesia,Pendidikan kewarganegaraan Republik Indonesia
"Pendidikan hukum, ilmu hukum & penelitian hukum di Indonesia","Pendidikan hukum, ilmu hukum & penelitian hukum di Indonesia"
Hukum investasi di Indonesia,Hukum investasi di Indonesia
"The Communist Party of Indonesia, 1951-1963","The Communist Party of Indonesia, 1951-1963"
"Indonesia satu, Indonesia beda, Indonesia bisa","Indonesia satu, Indonesia beda, Indonesia bisa"
"Hukum acara Mahkamah Konstitusi, Republik Indonesia","Hukum acara Mahkamah Konstitusi, Republik Indonesia"
Sejarah seni rupa Indonesia,Sejarah seni rupa Indonesia
Leksikologi & leksikografi Indonesia,Leksikologi & leksikografi Indonesia
Hukum pajak internasional Indonesia,Hukum pajak internasional Indonesia
Deiksis dalam bahasa Indonesia,Deiksis dalam bahasa Indonesia
"al-Munawwir, Kamus Arab-Indonesia","al-Munawwir, Kamus Arab-Indonesia"
The story of Indonesia,The story of Indonesia
Penegakan hukum di Indonesia,Penegakan hukum di Indonesia
Sejarah hukum di Indonesia,Sejarah hukum di Indonesia
Potret manajemen media di Indonesia,Potret manajemen media di Indonesia
Semangat baru nasionalisme Indonesia,Semangat baru nasionalisme Indonesia
Butir-butir mutiara estetika timur,Butir-butir mutiara estetika timur
Daftar ilmu pelayaran.,Daftar ilmu pelayaran.
Budaya visual Indonesia,Budaya visual Indonesia
Hukum Islam di Indonesia,Hukum Islam di Indonesia
Tanaman obat Indonesia,Tanaman obat Indonesia
Sejarah sastra Indonesia,Sejarah sastra Indonesia
Penerapan nilai-nilai Pancasila dan hak asasi manusia di Indonesia,Penerapan nilai-nilai Pancasila dan hak asasi manusia di Indonesia
Bantuan hukum di Indonesia,Bantuan hukum di Indonesia
Sejarah dan perkembangan pers di Indonesia,Sejarah dan perkembangan pers di Indonesia
Menggugat historiografi Indonesia,Menggugat historiografi Indonesia
Perempuan idaman novel Indonesia,Perempuan idaman novel Indonesia
Yindunixiya yu fa zhan shi =,Yindunixiya yu fa zhan shi =
Pedoman lengkap profesional SDM Indonesia,Pedoman lengkap profesional SDM Indonesia
Bibliografi Batavia =,Bibliografi Batavia =
Asuransi syariah di Indonesia,Asuransi syariah di Indonesia
Pengantar sistem sosial budaya di Indonesia,Pengantar sistem sosial budaya di Indonesia
Diksi dalam bahasa Indonesia ragam tulis,Diksi dalam bahasa Indonesia ragam tulis
Pengantar dalam hukum pidana Indonesia,Pengantar dalam hukum pidana Indonesia
Kosakata bahasa Indonesia mutakhir,Kosakata bahasa Indonesia mutakhir
Hukum lingkungan dalam sistem penegakan hukum lingkungan Indonesia,Hukum lingkungan dalam sistem penegakan hukum lingkungan Indonesia
Van Goor's kamus Inggeris ketjil,Van Goor's kamus Inggeris ketjil
Perlindungan hukum pidana bagi anak di Indonesia,Perlindungan hukum pidana bagi anak di Indonesia
Demokrasi dan konstitusi di Indonesia,Demokrasi dan konstitusi di Indonesia
Pengetahuan prosedur ekspor,Pengetahuan prosedur ekspor
Pengembangan Pancasila di Indonesia,Pengembangan Pancasila di Indonesia
Komposisi dalam bahasa Indonesia,Komposisi dalam bahasa Indonesia
Dasar dan struktur ketatanegaraan Indonesia,Dasar dan struktur ketatanegaraan Indonesia
Perubahan sosial dan pembangunan di Indonesia,Perubahan sosial dan pembangunan di Indonesia
Komunikasi pemerintahan,Komunikasi pemerintahan
Aspek hukum pasar modal Indonesia,Aspek hukum pasar modal Indonesia
Pengetahuan bahasa Indonesia,Pengetahuan bahasa Indonesia
Masalah sosial di Indonesia,Masalah sosial di Indonesia
Reksa dana syari'ah di Indonesia,Reksa dana syari'ah di Indonesia
Tabel komposisi pangan Indonesia (TKPI),Tabel komposisi pangan Indonesia (TKPI)
Hukum ekonomi syariah di Indonesia,Hukum ekonomi syariah di Indonesia
Mengenal ragam hias Indonesia,Mengenal ragam hias Indonesia
Teori dan kajian wacana bahasa Indonesia,Teori dan kajian wacana bahasa Indonesia
A history of modern Indonesia since c. 1200,A history of modern Indonesia since c. 1200
Koentjaraningrat dan antropologi di Indonesia,Koentjaraningrat dan antropologi di Indonesia
Sejarah maritim Indonesia,Sejarah maritim Indonesia
Pendaftaran tanah di Indonesia,Pendaftaran tanah di Indonesia
The Idea of Indonesia,The Idea of Indonesia
Regionalism in post-Suharto Indonesia,Regionalism in post-Suharto Indonesia
Ekonomi & pembangunan,Ekonomi & pembangunan
Sistem pelaksanaan pidana penjara di Indonesia,Sistem pelaksanaan pidana penjara di Indonesia
Intisari hukum adat Indonesia dalam kajian kepustakaan,Intisari hukum adat Indonesia dalam kajian kepustakaan
"Modern Indonesia, tradition & transformation","Modern Indonesia, tradition & transformation"
"The modernist Muslim movement in Indonesia, 1900-1942","The modernist Muslim movement in Indonesia, 1900-1942"
Palu arit di ladang tebu,Palu arit di ladang tebu
Gender dan strategi pengarus-utamaannya di Indonesia,Gender dan strategi pengarus-utamaannya di Indonesia
Landasan historis pendidikan Indonesia,Landasan historis pendidikan Indonesia
Pedoman imunisasi di Indonesia,Pedoman imunisasi di Indonesia
Peradilan administrasi negara dan upaya administratif di Indonesia,Peradilan administrasi negara dan upaya administratif di Indonesia
Tempayan di Indonesia =,Tempayan di Indonesia =
Akuntansi pemerintahan di Indonesia,Akuntansi pemerintahan di Indonesia
Berbahasa Indonesia dengan benar,Berbahasa Indonesia dengan benar
Sejarah pendidikan Islam di Indonesia,Sejarah pendidikan Islam di Indonesia
Ragam & analisis kalimat bahasa Indonesia,Ragam & analisis kalimat bahasa Indonesia
Teks dalam pembelajaran bahasa Indonesia kurikulum 2013,Teks dalam pembelajaran bahasa Indonesia kurikulum 2013
A photographic guide to the birds of Indonesia,A photographic guide to the birds of Indonesia
Kamus standar akuntansi,Kamus standar akuntansi
Promosi & pemasaran buku di Indonesia,Promosi & pemasaran buku di Indonesia
Gadai syariah di Indonesia,Gadai syariah di Indonesia
Kerangka kebijakan moneter & implementasinya di Indonesia,Kerangka kebijakan moneter & implementasinya di Indonesia
Himpunan peraturan perundang-undangan tentang kekuasaan kehakiman dan Mahkamah Agung-RI serta badan peradilan di Indonesia,Himpunan peraturan perundang-undangan tentang kekuasaan kehakiman dan Mahkamah Agung-RI serta badan peradilan di Indonesia
Hukum persaingan usaha di Indonesia,Hukum persaingan usaha di Indonesia
Ilmu perbandingan agama di Indonesia,Ilmu perbandingan agama di Indonesia
Tindak-tindak pidana tertentu di Indonesia,Tindak-tindak pidana tertentu di Indonesia
Kebijakan moneter dan fiskal di Indonesia,Kebijakan moneter dan fiskal di Indonesia
Nasionalisasi perusahaan Belanda di Indonesia,Nasionalisasi perusahaan Belanda di Indonesia
Modern Indonesian literature,Modern Indonesian literature
Reinventing Indonesia,Reinventing Indonesia
Hukum ketenagakerjaan Indonesia,Hukum ketenagakerjaan Indonesia
Urgensi pendidikan karakter di Indonesia,Urgensi pendidikan karakter di Indonesia
Angkatan 2000 dalam sastra Indonesia,Angkatan 2000 dalam sastra Indonesia
Problematika bahasa Indonesia,Problematika bahasa Indonesia
Partai-partai politik Indonesia,Partai-partai politik Indonesia
Telaah kurikulum dan buku teks bahasa Indonesia,Telaah kurikulum dan buku teks bahasa Indonesia
Kelelawar di Indonesia,Kelelawar di Indonesia
Hukum merek Indonesia,Hukum merek Indonesia
Transportasi laut Indonesia,Transportasi laut Indonesia
Garis besar geomorfologi Indonesia,Garis besar geomorfologi Indonesia
Sejarah Gereja Katolik Indonesia,Sejarah Gereja Katolik Indonesia
Tumbuhan-tumbuhan obat Indonesia,Tumbuhan-tumbuhan obat Indonesia
Arsitektur kolonial Belanda di Indonesia,Arsitektur kolonial Belanda di Indonesia
Atlas sejarah Indonesia dan dunia,Atlas sejarah Indonesia dan dunia
Bahasa Indonesia ragam lisan fungsional,Bahasa Indonesia ragam lisan fungsional
Fiqh & manajemen zakat di Indonesia,Fiqh & manajemen zakat di Indonesia
Birokrasi politik & pemilihan umum di Indonesia,Birokrasi politik & pemilihan umum di Indonesia
Kompilasi hukum Islam di Indonesia,Kompilasi hukum Islam di Indonesia
Teknologi komunikasi pendidikan,Teknologi komunikasi pendidikan
Tenaga kerja Indonesia,Tenaga kerja Indonesia
"Keputusan Presiden Republik Indonesia nomor 11 tahun 1989 ; Undang-Undang Republik Indonesia nomor 4 tahun 1990 ; Peraturan Pemerintah Republik Indonesia nomor 70 tahun 1991 ; Keputusan Kepala Perpustakaan  Nasional RI, nomor 001/Org/9/1990","Keputusan Presiden Republik Indonesia nomor 11 tahun 1989 ; Undang-Undang Republik Indonesia nomor 4 tahun 1990 ; Peraturan Pemerintah Republik Indonesia nomor 70 tahun 1991 ; Keputusan Kepala Perpustakaan  Nasional RI, nomor 001/Org/9/1990"
Komunikasi sosial di Indonesia,Komunikasi sosial di Indonesia
Menengok sejarah konstitusi Indonesia,Menengok sejarah konstitusi Indonesia
Politik Kristen di Indonesia,Politik Kristen di Indonesia
Pokok-pokok pengetahuan hukum dagang Indonesia,Pokok-pokok pengetahuan hukum dagang Indonesia
Peradilan agama di Indonesia,Peradilan agama di Indonesia
Administrasi publik baru Indonesia,Administrasi publik baru Indonesia
Kebijakan fiskal Indonesia,Kebijakan fiskal Indonesia
Bahan penyuluhan sastra,Bahan penyuluhan sastra
Pelecehan dan kekerasan seksual,Pelecehan dan kekerasan seksual
Pasaraya tafsir Indonesia,Pasaraya tafsir Indonesia
Business model canvas,Business model canvas
Implementasi Pancasila sebagai pandangan hidup bangsa dan dasar negara Indonesia dalam kehidupan sehari-hari,Implementasi Pancasila sebagai pandangan hidup bangsa dan dasar negara Indonesia dalam kehidupan sehari-hari
Hukum perkawinan di Indonesia,Hukum perkawinan di Indonesia
Komunisme di Indonesia,Komunisme di Indonesia
Seni pertunjukan Indonesia & pariwisata,Seni pertunjukan Indonesia & pariwisata
Paradigma desain Indonesia,Paradigma desain Indonesia
Perubahan sosial masyarakat Indonesia,Perubahan sosial masyarakat Indonesia
Bangun paragraf bahasa Indonesia,Bangun paragraf bahasa Indonesia
Himpunan yurisprudensi hukum perdata,Himpunan yurisprudensi hukum perdata
Kompilasi hukum ekonomi syari'ah,Kompilasi hukum ekonomi syari'ah
Studi masyarakat Indonesia,Studi masyarakat Indonesia
Gerakan Politik Indonesia,Gerakan Politik Indonesia
Ensiklopedia sejarah pendudukan Jepang di Indonesia,Ensiklopedia sejarah pendudukan Jepang di Indonesia
pendidikan agama islam untuk perguruan tinggi,pendidikan agama islam untuk perguruan tinggi
Sejarah Indonesia masa praaksara,Sejarah Indonesia masa praaksara
Pajak pertambahan nilai Indonesia,Pajak pertambahan nilai Indonesia
"Pendidikan, kebudayaan, dan masyarakat madani Indonesia","Pendidikan, kebudayaan, dan masyarakat madani Indonesia"
Pengantar tata hukum di Indonesia,Pengantar tata hukum di Indonesia
Birokrasi dan politik di Indonesia,Birokrasi dan politik di Indonesia
Modernisasi pendidikan Islam di Indonesia,Modernisasi pendidikan Islam di Indonesia
Undang-Undang Tentang Penghapusan Diskriminasi Ras dan Etnis,Undang-Undang Tentang Penghapusan Diskriminasi Ras dan Etnis
Mengindonesia etnisitas dan identitas bangsa Indonesia,Mengindonesia etnisitas dan identitas bangsa Indonesia
Masyarakat desa di Indonesia,Masyarakat desa di Indonesia
Masuknya Islam ke Indonesia,Masuknya Islam ke Indonesia
Formasi mikro-makro ekonomi Indonesia,Formasi mikro-makro ekonomi Indonesia
Analisis rasio keuangan pada perusahan yang memasyarakatkan sahamnya di Indonesia,Analisis rasio keuangan pada perusahan yang memasyarakatkan sahamnya di Indonesia
Pengantar linguistik dan tatabahasa bahasa Indonesia,Pengantar linguistik dan tatabahasa bahasa Indonesia
"Kalimat, konjungsi, dan preposisi bahasa Indonesia dalam penulisan karangan ilmiah","Kalimat, konjungsi, dan preposisi bahasa Indonesia dalam penulisan karangan ilmiah"
Hukum perjanjian Islam di Indonesia,Hukum perjanjian Islam di Indonesia
"Pancasila, ideologi dan dasar negara Republik Indonesia","Pancasila, ideologi dan dasar negara Republik Indonesia"
Hukum ekonomi Indonesia,Hukum ekonomi Indonesia
Kekuasaan kehakiman Indonesia,Kekuasaan kehakiman Indonesia
Pemikiran politik Indonesia,Pemikiran politik Indonesia
Bahasa hukum Indonesia,Bahasa hukum Indonesia
Mengenali dan memberantas korupsi,Mengenali dan memberantas korupsi
